Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
80251560,5001667907,2015,1443326400000,54,0,KEELE ST,ANNETTE ST,9 m South of,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.663642,-79.463794,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal, ,Yes, , , ,Yes, , , , , , , ,90,Junction Area (90),25
80251561,5001667907,2015,1443326400000,54,0,KEELE ST,ANNETTE ST,9 m South of,Major Arterial,Toronto and East York,4,0,0,11,0,0,43.663642,-79.463794,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,0,South,Municipal Transit Bus (TTC),Turning Right,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,90,Junction Area (90),26
80942711,8000879667,2018,1526443200000,55,0,QUEEN ST E,JARVIS  ST, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.653655,-79.373218,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,East,Intercity Bus,Turning Right,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,73,Moss Park (73),27
80942712,8000879667,2018,1526443200000,55,0,QUEEN ST E,JARVIS  ST, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.653655,-79.373218,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,0,West,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown, ,Yes, , , ,Yes, , , , , , , ,73,Moss Park (73),28
7528633,1321287,2012,1347768000000,101,1,DAVENPORT Rd,MOUNT ROYAL Ave, ,Minor Arterial,Toronto and East York,9,0,0,13,0,0,43.674545,-79.43259,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Moped Driver,60 to 64,Major,0,East,Moped,Going Ahead,Following too Close,Had Been Drinking, , , , , , , ,Yes, , , , , , , ,Yes, , , ,94,Wychwood (94),29
7528634,1321287,2012,1347768000000,101,1,DAVENPORT Rd,MOUNT ROYAL Ave, ,Minor Arterial,Toronto and East York,9,0,0,13,0,0,43.674545,-79.43259,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Minor,0,East,Bicycle,Turning Left, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Had Been Drinking, ,Yes, , , , , , , ,Yes, , , ,94,Wychwood (94),30
80782764,7001656927,2017,1505275200000,105,1,BLOOR ST W,BRUNSWICK AVE, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,West,Bicycle,Making U Turn, , , , , ,Cyclist makes u-turn in-front of driver.,Improper Turn,Had Been Drinking, ,Yes, ,Yes, , , , , , , , , ,79,University (79),31
80782765,7001656927,2017,1505275200000,105,1,BLOOR ST W,BRUNSWICK AVE, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.665908,-79.407436,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Motorcycle Driver,20 to 24,None,0,East,Motorcycle,Going Ahead,Driving Properly,Normal, , , , , , , ,Yes, ,Yes, , , , , , , , , ,79,University (79),32
7393652,1285114,2012,1332216000000,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),33
7393653,1285114,2012,1332216000000,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),34
7393654,1285114,2012,1332216000000,114,1,KING Stre W,PETER Stre, ,Major Arterial,Toronto and East York,10,0,0,52,0,0,43.646045,-79.39229,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive, ,Yes,Yes, , , , , , , , , , ,77,Waterfront Communities-The Island (77),35
7474950,1319584,2012,1346558400000,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, , , , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),36
7474951,1319584,2012,1346558400000,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,West,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),37
7474952,1319584,2012,1346558400000,115,1,COLLEGE ST,LIPPINCOTT ST, ,Major Arterial,Toronto and East York,11,0,0,14,0,0,43.656649,-79.406482,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,West,Bicycle,Overtaking, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),38
80631878,4002803863,2014,1409371200000,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,Major Arterial,Toronto and East York,910,10,9,14,0,0,43.642298,-79.427852,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East, ,Going Ahead, , , , , ,Insufficient information (to determine cyclist crash type).,Other,Had Been Drinking, ,Yes, , , ,Yes, , , , , , , ,84,Little Portugal (84),39
80631879,4002803863,2014,1409371200000,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,Major Arterial,Toronto and East York,910,10,9,14,0,0,43.642298,-79.427852,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,0,West,Street Car,Going Ahead,Driving Properly,Normal, , , , , , , ,Yes, , , ,Yes, , , , , , , ,84,Little Portugal (84),40
80171679,4002750756,2014,1408680000000,122,1,BLOOR ST E,PARLIAMENT ST, ,Major Arterial,Toronto and East York,13,0,0,"51,53",53,51,43.671954,-79.370693,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes, , , ,71,Cabbagetown-South St.James Town (71),41
80171680,4002750756,2014,1408680000000,122,1,BLOOR ST E,PARLIAMENT ST, ,Major Arterial,Toronto and East York,13,0,0,"51,53",53,51,43.671954,-79.370693,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , , ,Yes,Yes, , , , , , ,Yes, , , ,71,Cabbagetown-South St.James Town (71),42
7645161,1301986,2012,1340856000000,155,1,UNIVERSITY AVE,ELM ST, ,Major Arterial,Toronto and East York,11,0,0,52,0,0,43.656345,-79.38899,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),43
7645162,1301986,2012,1340856000000,155,1,UNIVERSITY AVE,ELM ST, ,Major Arterial,Toronto and East York,11,0,0,52,0,0,43.656345,-79.38899,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,East,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Other,Unknown, ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),44
80242116,5001034900,2015,1434772800000,155,1,CARLTON ST,HOMEWOOD AVE, ,Minor Arterial,Toronto and East York,13,0,0,51,0,0,43.662905,-79.374339,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,0,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking, ,Yes,Yes, , , , , , , , , , ,73,Moss Park (73),45
80242117,5001034900,2015,1434772800000,155,1,CARLTON ST,HOMEWOOD AVE, ,Minor Arterial,Toronto and East York,13,0,0,51,0,0,43.662905,-79.374339,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,73,Moss Park (73),46
7841611,1366140,2013,1372305600000,205,2,DAVENPORT Rd,CHRISTIE St, ,Minor Arterial,Toronto and East York,12,0,0,13,0,0,43.675545,-79.42309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , ,Yes,Yes, , , , , , ,Yes,Yes, , ,94,Wychwood (94),47
7841612,1366140,2013,1372305600000,205,2,DAVENPORT Rd,CHRISTIE St, ,Minor Arterial,Toronto and East York,12,0,0,13,0,0,43.675545,-79.42309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,North,Bicycle,Going Ahead, , , , , ,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes,Yes, , ,94,Wychwood (94),48
5373509,1044518,2008,1213502400000,215,2,DUNDAS ST W,RONCESVALLES AVE, ,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.653645,-79.45139,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Going Ahead,Lost control,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,86,Roncesvalles (86),49
5373510,1044518,2008,1213502400000,215,2,DUNDAS ST W,RONCESVALLES AVE, ,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.653645,-79.45139,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,West,Bicycle,Going Ahead, , , , , ,Motorist loses control and strikes cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,86,Roncesvalles (86),50
5431406,1069861,2008,1226638800000,226,2,DOVERCOURT RD,ARGYLE ST, ,Collector,Toronto and East York,910,10,9,14,0,0,43.646145,-79.42349,Intersection, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),51
5431407,1069861,2008,1226638800000,226,2,DOVERCOURT RD,ARGYLE ST, ,Collector,Toronto and East York,910,10,9,14,0,0,43.646145,-79.42349,Intersection, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,0,West,"Automobile, Station Wagon",Reversing,Other,Unknown, , , , , , , ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),52
5431408,1069861,2008,1226638800000,226,2,DOVERCOURT RD,ARGYLE ST, ,Collector,Toronto and East York,910,10,9,14,0,0,43.646145,-79.42349,Intersection, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,North,Bicycle,Stopped, , , , , ,Motorist reversing struck cyclist.,Driving Properly,Unknown, ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),53
5277389,1121287,2009,1247889600000,242,2,RIVER ST,DUNDAS ST E, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.661145,-79.35819,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,72,Regent Park (72),54
5277390,1121287,2009,1247889600000,242,2,RIVER ST,DUNDAS ST E, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.661145,-79.35819,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,72,Regent Park (72),55
5277391,1121287,2009,1247889600000,242,2,RIVER ST,DUNDAS ST E, ,Major Arterial,Toronto and East York,13,0,0,51,0,0,43.661145,-79.35819,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,East,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive, ,Yes,Yes, , , , , , , , , , ,72,Regent Park (72),56
7855781,1372200,2013,1376107200000,250,2,SPADINA AVE,OXFORD ST, ,Major Arterial,Toronto and East York,11,0,0,"14,52",52,14,43.656737,-79.399577,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,0,South,"Automobile, Station Wagon",Reversing,Other,Unknown, , , , , , , ,Yes,Yes, , , , , , , , , , ,78,Kensington-Chinatown (78),57
